ErrorID    ;UserName                                                                                            ;ErrorNumber;ErrorState ;ErrorSeverity;ErrorLine  ;ErrorProcedure                                                                                                                                                                                                                                                  ;ErrorMessage                                                                                                                                                                                                                                                    ;ErrorDateTime   
-----------;----------------------------------------------------------------------------------------------------;-----------;-----------;-------------;-----------;----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------
       3486;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.12                                                                                                                                                                                                            ;      2021-02-12
       3487;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.12                                                                                                                                                                                                  ;      2021-02-12
       3527;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.13                                                                                                                                                                                                            ;      2021-02-13
       3528;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.13                                                                                                                                                                                                  ;      2021-02-13
       5098;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.17                                                                                                                                                                                                            ;      2021-02-17
       5099;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.17                                                                                                                                                                                                  ;      2021-02-17
       5230;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.17                                                                                                                                                                                                            ;      2021-02-17
       5231;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.17                                                                                                                                                                                                  ;      2021-02-17
       5429;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.18                                                                                                                                                                                                            ;      2021-02-18
       5430;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.18                                                                                                                                                                                                  ;      2021-02-18
       5297;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.18                                                                                                                                                                                                            ;      2021-02-18
       5298;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.18                                                                                                                                                                                                  ;      2021-02-18
       5496;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Fill_KEP_PL                                                                                                                                                                                                                                                   ;No PL discounts data for the report date: 2021.02.19                                                                                                                                                                                                            ;      2021-02-19
       5497;sa                                                                                                  ;       NULL;       NULL;         NULL;       NULL;p_Get_KEP_PL                                                                                                                                                                                                                                                    ;No PL global price change data for the report date: 2021.02.19                                                                                                                                                                                                  ;      2021-02-19
